2018-08-09 07:38:04,872 [Worker-26: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-09 07:38:04,874 [Worker-26: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Naxxh00\EjemplosSpring\Spring1\MiAplicacion1\src\test\resources
2018-08-09 07:40:23,978 [Worker-27: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: pbas.ignacio.aplicacion1:MiAplicacion1:1.0-SNAPSHOT @ C:\Users\Naxxh00\EjemplosSpring\Spring1\MiAplicacion1\pom.xml.
2018-08-09 07:40:25,225 [Worker-27: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-09 07:40:25,229 [Worker-27: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Naxxh00\EjemplosSpring\Spring1\MiAplicacion1\src\main\resources
2018-08-09 07:40:25,233 [Worker-27: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-09 07:40:25,235 [Worker-27: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Naxxh00\EjemplosSpring\Spring1\MiAplicacion1\src\test\resources
2018-08-09 07:40:28,713 [Worker-24: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-09 07:40:28,715 [Worker-24: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Naxxh00\EjemplosSpring\Spring1\MiAplicacion1\src\main\resources
2018-08-09 07:40:28,723 [Worker-24: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
